Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Blanco,,,,,Buds5-Pro-WH,,,Sucursal Chalchuapa,,0,0,0,0,0,
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Blanco,,,,,Buds5-Pro-WH,,,Sucursal Santa Ana Independencia,,0,0,0,1,1,
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Blanco,,,,,Buds5-Pro-WH,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
audifonos-con-microfono-jbl-tune-520bt,Audífonos con Micrófono JBL Tune 520BT,Color,Negro,,,,,Tune-520BTBK-1,,,Sucursal Chalchuapa,,0,0,0,-2,-2,
audifonos-con-microfono-jbl-tune-520bt,Audífonos con Micrófono JBL Tune 520BT,Color,Negro,,,,,Tune-520BTBK-1,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
audifonos-con-microfono-jbl-tune-520bt,Audífonos con Micrófono JBL Tune 520BT,Color,Negro,,,,,Tune-520BTBK-1,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
memoria-usb-sandisk-cruzer-blade,Memoria USB Sandisk Cruzer Blade,Capacidad,16GB,,,,,SDCZ50-016G-B35,,,Sucursal Chalchuapa,,0,0,0,0,0,
memoria-usb-sandisk-cruzer-blade,Memoria USB Sandisk Cruzer Blade,Capacidad,16GB,,,,,SDCZ50-016G-B35,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
memoria-usb-sandisk-cruzer-blade,Memoria USB Sandisk Cruzer Blade,Capacidad,16GB,,,,,SDCZ50-016G-B35,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
calculadora-casio-fx-991es-plus-pk-2da-edicion,Calculadora CASIO FX-991ES PLUS PK 2DA EDICION,color,Negro,,,,,FX-991ES BK 2DA,,,Sucursal Chalchuapa,,0,0,0,0,0,
